id,sales_note,label
2973,trialsamples needed for our new eco friendly line,New Product Demand
2974,warehouse almost out of stock for Model Y23,Stocking Issue
2975,custom size requested for container 560Z special handling needed,Custom Spec
2976,"Inventory running low, client requests immediate resupply.",Stocking Issue
2977,"Anotherbatch required urgently, same spec as previous",Repeat Order
2978,Placing a repeat request for item series 100X.,Repeat Order
2979,interest shown in 2025X prototype by client,New Product Demand
2980,Need emergency stock replenishment by friday.,Urgent Need
2981,"Another batch required urgently, same spec as previous",Repeat Order
2982,"Out of stock reported, needs restocking.",Stocking Issue
2983,trial samples needed for our new eco friendly line,New Product Demand
2984,Stockout reported for Model X1.,Stocking Issue
2985,Requestfor custom color matching on containers. ASAP,Custom Spec
2986,"Another batch required urgently, same spec as previous",Repeat Order
2987,Stockout reported for Model X1.,Stocking Issue
2988,trial samples needed for our new eco friendly line,New Product Demand
2989,"Another batch required urgently, same spec as previous",Repeat Order
2990,Exploring samples for a new product line.,New Product Demand
2991,They are requesting a repeat of the previous order.,Repeat Order
2992,Clientneeds same order as last month for product 450x,Repeat Order
2993,trial samples needed for our new eco friendly line,New Product Demand
2994,backorders increasing need quick replenishment,Stocking Issue
2995,Asked for customized sizing of the packaging.,Custom Spec
2996,Need emergency stock replenishment by Friday. ASAP,Urgent Need
2997,Request for non-standard dimension for container.,Custom Spec
2998,demounits requested to evaluate updated models,New Product Demand
2999,They are requesting a repeat of the previous order.,Repeat Order
3000,Stockout reported for Model X1.,Stocking Issue
3001,Client exploring samples of 2024 line.,New Product Demand
3002,Exploring samples for a new product line. ASAP,New Product Demand
3003,Asked for customized sizing of the packaging. ASAP,Custom Spec
3004,interest shown in 2025X prototype by client,New Product Demand
3005,"Warehouse backorder increasing, please resupply.",Stocking Issue
3006,Specification change: needs reinforced packaging.,Custom Spec
3007,"Warehouse backorder increasing, please resupply.",Stocking Issue
3008,Need 300 more of the units ordered last month.,Repeat Order
3009,"Out of stock reported, needs restocking.",Stocking Issue
3010,Clientwants another batch of 1000 units like last time.,Repeat Order
3011,warehouse almost out of stock for Model Y23,Stocking Issue
3012,"Out of stock reported, needs restocking.",Stocking Issue
3013,trial samples needed for our new eco friendly line,New Product Demand
3014,They are requesting a repeat of the previous order.,Repeat Order
3015,"Another batch required urgently, same spec as previous",Repeat Order
3016,Client exploring samples of 2024 line.,New Product Demand
3017,Specification change: needs reinforced packaging.,Custom Spec
3018,Stockoutreported for Model X1. ASAP,Stocking Issue
3019,inventory outage pls expedite shipping if possible,Urgent Need
3020,First order placed for updated product variant.,New Product Demand
3021,"Another batch required urgently, same spec as previous",Repeat Order
3022,Placing a repeat request for item series 100x. ASAP,Repeat Order
3023,Client wants another batch of 1000 units like last time.,Repeat Order
3024,trial samples needed for our new eco friendly line,New Product Demand
3025,critical shortage reported need shipment by next week,Urgent Need
3026,"Delivery needed immediately, client facing outage.",Urgent Need
3027,"Delivery needed immediately, client facing outage.",Urgent Need
3028,Trial order to test new technology batch.,New Product Demand
3029,Firstorder placed for updated product variant.,New Product Demand
3030,Asked for customized sizing of the packaging.,Custom Spec
3031,Need urgent delivery due to market launch next week.,Urgent Need
3032,Asked for customized sizing of the packaging.,Custom Spec
3033,Customizeddimension required for part 780y.,Custom Spec
3034,Interest shown in 2025x prototype by client,New Product Demand
3035,Exploringsamples for a new product line.,New Product Demand
3036,Exploring samples for a new product line.,New Product Demand
3037,They are requesting a repeat of the previous order.,Repeat Order
3038,custom size requested for container 560Z special handling needed,Custom Spec
3039,Customized dimension required for part 780Y.,Custom Spec
3040,Client wants another batch of 1000 units like last time.,Repeat Order
3041,"Backorders causing delays, need resupply ASAP.",Stocking Issue
3042,"Requesting rush shipping, shortage reported.",Urgent Need
3043,"Requesting rush shipping, shortage reported.",Urgent Need
3044,"running low on supplies again, please arrange dispatch",Stocking Issue
3045,needs reinforced handles on boxes for safety reason,Custom Spec
3046,"Backorders causing delays, need resupply ASAP.",Stocking Issue
3047,critical shortage reported need shipment by next week,Urgent Need
3048,"runninglow on supplies again, please arrange dispatch",Stocking Issue
3049,"Deliveryneeded immediately, client facing outage.",Urgent Need
3050,Request for custom color matching on containers.,Custom Spec
3051,"Requesting rush shipping, shortage reported.",Urgent Need
3052,Customized dimension required for part 780Y. ASAP,Custom Spec
3053,"Backorders causing delays, need resupply ASAP.",Stocking Issue
3054,Placing a repeat request for item series 100X.,Repeat Order
3055,Customized dimension required for part 780Y.,Custom Spec
3056,Request for non-standard dimension for container.,Custom Spec
3057,Need urgent delivery due to market launch next week.,Urgent Need
3058,Stockout reported for Model X1.,Stocking Issue
3059,Rush request for product A45 due to customer escalation,Urgent Need
3060,Stockout reported for Model X1.,Stocking Issue
3061,"running low on supplies again, please arrange dispatch",Stocking Issue
3062,Firstorder placed for updated product variant.,New Product Demand
3063,Interestshown in 2025x prototype by client,New Product Demand
3064,Placinga repeat request for item series 100X.,Repeat Order
3065,backorders increasing need quick replenishment,Stocking Issue
3066,"Delivery needed immediately, client facing outage. ASAP",Urgent Need
3067,"running low on supplies again, please arrange dispatch",Stocking Issue
3068,critical shortage reported need shipment by next week,Urgent Need
3069,Placinga repeat request for item series 100x.,Repeat Order
3070,Placing a repeat request for item series 100X.,Repeat Order
3071,warehousealmost out of stock for Model Y23,Stocking Issue
3072,First order placed for updated product variant.,New Product Demand
3073,Need emergency stock replenishment by Friday.,Urgent Need
3074,inventoryoutage pls expedite shipping if possible,Urgent Need
3075,"running low on supplies again, please arrange dispatch",Stocking Issue
3076,Client wants another batch of 1000 units like last time.,Repeat Order
3077,Need 300 more of the units ordered last month.,Repeat Order
3078,"Another batch required urgently, same spec as previous",Repeat Order
3079,Customized dimension required for part 780Y.,Custom Spec
3080,Askedfor customized sizing of the packaging.,Custom Spec
3081,Need 300 more of the units ordered last month.,Repeat Order
3082,First order placed for updated product variant.,New Product Demand
3083,Trial order to test new technology batch.,New Product Demand
3084,interest shown in 2025X prototype by client,New Product Demand
3085,trial samples needed for our new eco friendly line,New Product Demand
3086,Trialorder to test new technology batch.,New Product Demand
3087,Need 300 more of the units ordered last month.,Repeat Order
3088,"running low on supplies again, please arrange dispatch",Stocking Issue
3089,"Deliveryneeded immediately, client facing outage.",Urgent Need
3090,Wants special coating on the exterior.,Custom Spec
3091,"Warehouse backorder increasing, please resupply.",Stocking Issue
3092,"Requesting rush shipping, shortage reported.",Urgent Need
3093,"Requesting rush shipping, shortage reported.",Urgent Need
3094,needs reinforced handles on boxes for safety reason,Custom Spec
3095,"Requesting rush shipping, shortage reported.",Urgent Need
3096,Need 300 more of the units ordered last month.,Repeat Order
3097,Stockout reported for Model X1.,Stocking Issue
3098,demo units requested to evaluate updated models,New Product Demand
3099,warehouse almost out of stock for Model Y23,Stocking Issue
3100,"Warehousebackorder increasing, please resupply.",Stocking Issue
3101,Need 300 more of the units ordered last month.,Repeat Order
3102,Trial order to test new technology batch.,New Product Demand
